ingredient,side_effects
saccharomyces-boulardii,"Saccharomyces boulardii is  LIKELY SAFE  for most adults when taken by mouth for up to 15 months. It can cause gas in some people. Rarely, it might cause fungal infections that can spread through the bloodstream to the entire body (fungemia).   
 "
safed-musli,There is not enough information available to know if safed musli is safe.  
safflower,"Safflower seed oil is  LIKELY SAFE  for most people when taken by mouth.    

It is  POSSIBLY SAFE  to take safflower flower by mouth or to inject a specific safflower oil emulsion (Liposyn) intravenously (by IV), provided the safflower oil emulsion is administered by a healthcare professional. 

 "
saffron,"Saffron is  LIKELY SAFE  in food amounts. Saffron is  POSSIBLY SAFE  when taken by mouth as a medicine for up to 26 weeks. Some possible side effects include dry mouth, anxiety, agitation, drowsiness, low mood, sweating, nausea or vomiting, constipation or diarrhea, change in appetite, flushing, and headache. Allergic reactions can occur in some people.   

Taking large amounts of saffron by mouth is  POSSIBLY UNSAFE . High doses of 5 grams or more can cause poisoning. Doses of 12-20 grams can cause death.   
 
"
sage,"Sage is  LIKELY SAFE  in amounts typically used in foods. It is  POSSIBLY SAFE  when taken by mouth or applied to the skin in medicinal amounts short-term (up to 4 months).    However, sage is  POSSIBLY UNSAFE  when taken by mouth in high doses or for a long time. Some species of sage, such as common sage (Salvia officinalis), contain a chemical called thujone. Thujone can be poisonous if you get enough. This chemical can cause seizures and damage to the liver and nervous systems. The amount of thujone varies with the species of plant, the time of harvest, growing conditions, and other factors.     "
salacia,"Salacia is  POSSIBLY SAFE  when taken by  mouth , short-term. Single doses of salacia can be consumed safely in doses up to 1000 mg. Consuming salacia tea with food seems to be safe for most people for up to three months. There isn't enough information to know if salacia is safe when used for long periods of time.    Salacia can cause uncomfortable side effects such as gas, belching, pain in the  abdomen ,  nausea , and  diarrhea  in some people.     "
salatrim,Salatrim is  LIKELY SAFE  when taken by  mouth  in food amounts. Salatrim is  POSSIBLY SAFE  when taken by  mouth  in doses of 30 grams daily. Mild  stomach  discomfort has been reported for some people who used salatrim.  
salep,"Salep might be safe for most people, but the possible side effects aren't known.  "
salvia-divinorum,"Salvia divinorum is  POSSIBLY UNSAFE . It can cause serious side effects including  nausea ,  dizziness , slurred speech, confusion, paranoia, and hallucinations.     "
same,"SAMe is  LIKELY SAFE  when taken by mouth, given intravenously (by IV), or when injected as a shot, appropriately. It can sometimes cause gas, vomiting, diarrhea, constipation, dry mouth, headache, mild insomnia, anorexia, sweating, dizziness, and nervousness, especially at higher doses. It can also make some people with depression feel anxious.  "
samphire,"Samphire might be safe for most people, but the possible side effects are unknown.  "
sandy-everlasting,Sandy everlasting is safe in food amounts and appears to be safe for most people when taken by mouth in recommended medicinal amounts.  
sanghuang,There isn't enough reliable information about sanghuang to know if it is safe.  
sangre-de-grado,"It is  LIKELY SAFE  to take crofelemer (SP-303), a chemical isolated from sangre de grado, by mouth. It is  POSSIBLY SAFE  to apply crofelemer (SP-303) directly to the skin. Some people have reported pain and burning when applying crofelemer (SP-303) to the skin. There is not enough information available to know if sangre de grado itself is safe to take for medical conditions.  
 "
sanicle,"Sanicle is  POSSIBLY SAFE  for most people when taken by  mouth . In large amounts, it may cause some side effects including  stomach  upset,  nausea , and  vomiting .     "
sarsaparilla,"Sarsaparilla seems safe for most people when used as a medicine. It might cause  stomach  irritation, especially when used in larger amounts.  "
sassafras,"Sassafras seems safe in foods and beverages if it is “safrole-free.”    However, it is  UNSAFE  for use as a medicine. Don’t take it by mouth or put it on your skin. The safrole in sassafras root bark and oil can cause cancer and  liver  damage. Consuming just 5 mL of sassafras oil can kill an adult. Even “safrole-free” sassafras used in medicinal amounts has been linked with tumors.    Sassafras can cause  sweating  and  hot flashes . High amounts can cause  vomiting , high blood pressure, hallucinations, and more severe side effects. It can cause  skin rashes  when used on the skin.  "
savin-tops,"Savin tops are  UNSAFE  and can cause death if taken by  mouth  as a powder or tea. Taking only six drops of the volatile oil can also cause death.    Symptoms of poisoning by savin tops include queasiness, abnormal  heart  rhythm, spasms,  kidney  damage,  blood  in the urine, paralysis, and unconsciousness. Taking savin tops by  mouth  can also cause severe irritation of the  lungs  (pneumonitis), digestive tract ( gastroenteritis ),  liver  ( hepatitis ), and  kidney  (nephritis).    When applied to the skin, savin-tops can cause skin irritation,  blisters , and damage from dead cells (necroses).  "
saw-palmetto,"Saw palmetto is  LIKELY SAFE  for most people when taken by mouth for up to three years. Side effects are usually mild. Some people have reported dizziness, headache, nausea, vomiting, constipation, and diarrhea. Some people have reported that saw palmetto causes impotence. However, these side effects do not seem to occur any more often with saw palmetto than with a sugar pill.   

There is some concern that saw palmetto might cause liver or pancreas problems in some people. There have been two reports of liver damage and one report of pancreas damage in people who took saw palmetto. However, there is not enough information to know if saw palmetto was the actual cause of these side effects.   

Saw palmetto is  POSSIBLY SAFE  when administered into the rectum appropriately for up to 30 days. It is not known if it is safe to use for longer periods of time.   
 "
scarlet-pimpernel,"Scarlet pimpernel appears to be  UNSAFE  for long-term use when taken by  mouth  or applied to the skin. Scarlet pimpernel can cause swelling (inflammation) of the  stomach ,  intestines , and kidneys with long-term use or high doses.    There isn’t enough information to know if scarlet pimpernel is safe for short-term use.  "
sceletium,"There is not enough information available to know if sceletium is safe.    Some people who have used it report side effects including  headaches , loss of appetite, and  depression . There have also been reports of intoxication in people who use too much or who chew it shortly after fermentation.  "
schisandra,"Schisandra fruit is  POSSIBLY SAFE  when taken by mouth appropriately. It can cause heartburn, upset stomach, decreased appetite, stomach pain, skin rash, and itching.     "
schizonepeta,"Schizonepeta appears to be safe in low doses for most people. In high doses, a chemical in schizonepeta might damage the  liver .  "
scopolia,"Scopolia is  LIKELY UNSAFE  when taken by  mouth  for self-medication. There is only a small difference between a beneficial dose and a poisonous dose, and products vary in concentrations of chemicals. Early symptoms of poisoning include reddened skin and  dry mouth . Other symptoms include  high body temperature ,  vision  problems, difficulty urinating, and  constipation . Taking large amounts of scopolia can cause restlessness, compulsive speech, and hallucinations, followed by  breathing problems , and death.     "
